Feature,Coefficient,Abs_Coefficient
OverTime,0.7819598602424563,0.7819598602424563
YearsSinceLastPromotion,0.4811845944979504,0.4811845944979504
Department,0.4712784686292264,0.4712784686292264
NumCompaniesWorked,0.449190873198486,0.449190873198486
YearsWithCurrManager,-0.4399528430210893,0.4399528430210893
EnvironmentSatisfaction,-0.435979370536187,0.435979370536187
TotalWorkingYears,-0.4206844433746501,0.4206844433746501
Age,-0.40956390453488567,0.40956390453488567
JobSatisfaction,-0.38321987888406206,0.38321987888406206
YearsInCurrentRole,-0.3623627631001576,0.3623627631001576
JobInvolvement,-0.3477704934843897,0.3477704934843897
DistanceFromHome,0.31512371841474285,0.31512371841474285
MaritalStatus,0.2958061458201655,0.2958061458201655
StockOptionLevel,-0.2803574956727454,0.2803574956727454
JobRole,-0.2708364348294859,0.2708364348294859
RelationshipSatisfaction,-0.26950606667049265,0.26950606667049265
WorkLifeBalance,-0.24567094733726433,0.24567094733726433
YearsAtCompany,0.24404283334889929,0.24404283334889929
MonthlyIncome,-0.24143084877234613,0.24143084877234613
DailyRate,-0.18931666164771402,0.18931666164771402
PercentSalaryHike,-0.18086037092702273,0.18086037092702273
TrainingTimesLastYear,-0.1521627361055499,0.1521627361055499
JobLevel,-0.14863600819786923,0.14863600819786923
Gender,0.1417284511045127,0.1417284511045127
PerformanceRating,0.141494356342082,0.141494356342082
EducationField,-0.05634232074562669,0.05634232074562669
HourlyRate,-0.051499448494675956,0.051499448494675956
Education,0.03464613465638683,0.03464613465638683
BusinessTravel,-0.02104682692286065,0.02104682692286065
MonthlyRate,0.015039603726070331,0.015039603726070331
